1741,2,24
1761,1,24
1764,2,24
1768,1,24
1833,2,24
1857,1,24
6,2,23
86,2,23
145,2,23
233,2,23
482,1,23
539,2,23
711,1,23
754,2,23
905,2,23
989,2,23
1032,2,23
1111,2,23
1320,2,23
1529,2,23
1581,2,23
1735,1,23
1790,2,23
67,1,22
95,1,22
150,2,22
153,2,22
200,2,22
275,1,22
285,1,22
336,1,22
382,2,22
384,2,22
429,2,22
445,2,22
563,1,22
783,2,22
798,2,22
1129,2,22
1208,2,22
1212,2,22
1228,2,22
1289,1,22
1408,2,22
1412,1,22
1461,2,22
1465,2,22
1537,2,22
1544,2,22
1555,2,22
1569,2,22
1584,2,22
1684,1,22
1707,2,22
1849,2,22
10,2,21
58,2,21
178,1,21
194,2,21
210,1,21
214,1,21
241,2,21
271,1,21
298,2,21
335,1,21
386,1,21
418,2,21
553,1,21
576,2,21
614,1,21
621,2,21
646,2,21
679,2,21
701,2,21
766,1,21
820,1,21
841,1,21
842,1,21
869,2,21
886,1,21
891,2,21
898,2,21
928,2,21
978,2,21
1160,2,21
1265,2,21
1284,2,21
1294,2,21
1307,2,21
1309,1,21
1316,1,21
1330,2,21
1341,2,21
1389,2,21
1561,2,21
1608,1,21
1616,1,21
1711,2,21
1737,1,21
1786,2,21
117,2,20
248,2,20
389,2,20
419,2,20
457,1,20
551,2,20
572,2,20
613,2,20
640,1,20
695,1,20
718,2,20
806,2,20
937,2,20
956,2,20
1121,2,20
1206,2,20
1260,1,20
1295,2,20
1326,2,20
1328,1,20
1335,1,20
1391,2,20
1419,1,20
1438,2,20
1503,1,20
1519,2,20
1539,2,20
1592,1,20
1599,1,20
1673,2,20
1688,2,20
1792,1,20
1844,2,20
1860,1,20
113,2,19
169,2,19
174,2,19
340,2,19
355,2,19
420,1,19
483,1,19
580,2,19
648,1,19
691,2,19
758,2,19
922,2,19
947,2,19
952,1,19
1035,2,19
1055,2,19
1062,1,19
1171,2,19
1255,2,19
1324,1,19
1332,1,19
1385,1,19
1417,2,19
1456,1,19
1470,2,19
1551,2,19
1654,2,19
1743,2,19
1772,1,19
7,1,18
29,2,18
97,2,18
124,2,18
134,2,18
191,1,18
229,2,18
230,2,18
255,1,18
256,2,18
262,1,18
278,1,18
332,1,18
364,2,18
388,1,18
403,2,18
435,2,18
476,1,18
480,1,18
493,2,18
550,2,18
552,2,18
575,2,18
663,1,18
714,2,18
787,2,18
848,1,18
1042,2,18
1082,2,18
