810,2,24
850,1,24
869,2,24
898,2,24
908,2,24
1010,1,24
1027,2,24
1072,1,24
1160,2,24
1198,2,24
1202,2,24
1221,2,24
1293,1,24
1309,1,24
1346,1,24
1387,1,24
1395,1,24
1408,2,24
1457,1,24
1465,2,24
1581,2,24
1583,2,24
1585,1,24
1618,1,24
1731,2,24
1794,2,24
1840,2,24
100,2,23
153,2,23
194,2,23
200,2,23
218,2,23
219,2,23
229,2,23
261,1,23
262,1,23
316,2,23
318,2,23
364,2,23
382,2,23
388,1,23
551,2,23
553,1,23
612,1,23
616,2,23
719,1,23
745,2,23
758,2,23
872,2,23
899,1,23
906,1,23
944,2,23
955,2,23
1067,1,23
1116,1,23
1151,2,23
1161,2,23
1178,2,23
1228,2,23
1311,1,23
1383,2,23
1455,1,23
1510,1,23
1524,1,23
1540,2,23
1547,2,23
1620,2,23
1654,2,23
1730,1,23
1821,1,23
1853,2,23
29,2,22
76,1,22
95,1,22
150,2,22
174,2,22
187,2,22
189,2,22
191,1,22
196,2,22
280,1,22
298,2,22
325,1,22
327,1,22
333,2,22
357,2,22
439,2,22
461,2,22
462,2,22
482,1,22
500,1,22
534,1,22
607,1,22
630,2,22
648,1,22
716,1,22
733,2,22
845,2,22
848,1,22
905,2,22
1101,2,22
1162,1,22
1234,1,22
1275,2,22
1307,2,22
1341,2,22
1370,1,22
1385,1,22
1389,2,22
1541,2,22
1559,2,22
1561,2,22
1590,2,22
1609,1,22
1746,1,22
1868,2,22
7,1,21
10,2,21
67,1,21
87,1,21
102,2,21
107,2,21
112,1,21
118,2,21
240,1,21
246,1,21
282,2,21
292,2,21
342,2,21
429,2,21
573,2,21
580,2,21
588,1,21
636,1,21
643,1,21
663,1,21
690,2,21
750,1,21
780,2,21
887,1,21
957,1,21
1091,1,21
1094,1,21
1107,2,21
1331,2,21
1396,2,21
1413,2,21
1508,2,21
1529,2,21
1535,1,21
1537,2,21
1591,2,21
1641,2,21
1644,1,21
1646,2,21
1687,1,21
1721,2,21
1726,1,21
1743,2,21
1762,2,21
1776,1,21
75,2,20
152,2,20
159,2,20
175,2,20
203,2,20
237,1,20
245,2,20
276,2,20
301,2,20
308,1,20
343,2,20
414,2,20
419,2,20
457,1,20
459,1,20
464,1,20
483,1,20
564,2,20
816,2,20
865,2,20
903,2,20
910,2,20
936,2,20
963,2,20
984,2,20
1042,2,20
1077,1,20
1110,1,20
1171,2,20
1259,2,20
1317,2,20
1335,1,20
1403,2,20
1432,2,20
1454,1,20
1520,2,20
1549,2,20
1764,2,20
1769,2,20
1778,2,20
1795,2,20
1818,2,20
31,1,19
56,1,19
125,2,19
158,2,19
164,2,19
171,2,19
258,1,19
283,1,19
285,1,19
317,2,19
322,2,19
366,1,19
378,2,19
403,2,19
455,2,19
514,1,19
618,1,19
715,2,19
730,1,19
754,2,19
775,2,19
777,2,19
783,2,19
844,2,19
885,1,19
891,2,19
943,2,19
948,1,19
1048,1,19
1060,1,19
1076,2,19
1137,2,19
1241,2,19
1266,2,19
1330,2,19
1366,2,19
1381,2,19
1438,2,19
1456,1,19
1467,1,19
1542,1,19
1595,2,19
1633,2,19
1658,1,19
1697,2,19
1698,2,19
1835,2,19
1839,2,19
1844,2,19
2,1,18
52,2,18
53,1,18
58,2,18
83,1,18
111,1,18
179,1,18
294,1,18
351,1,18
409,2,18
440,2,18
460,1,18
491,1,18
493,2,18
517,2,18
575,2,18
605,2,18
637,1,18
642,2,18
655,1,18
674,1,18
682,2,18
704,2,18
718,2,18
732,1,18
763,2,18
873,2,18
895,2,18
933,1,18
939,2,18
967,1,18
989,2,18
1009,2,18
1040,2,18
1143,2,18
1149,1,18
1190,1,18
1192,2,18
1200,2,18
1231,1,18
1235,2,18
1238,2,18
1247,2,18
1344,2,18
1355,2,18
1369,2,18
1437,1,18
1459,2,18
1479,2,18
1494,1,18
1505,2,18
1533,2,18
1539,2,18
1593,1,18
1596,2,18
1617,2,18
1624,1,18
1672,1,18
1688,2,18
1689,2,18
1722,2,18
1777,2,18
1792,1,18
1796,2,18
1826,2,18
1842,2,18
1855,2,18
1866,1,18
39,1,17
46,2,17
57,2,17
60,2,17
69,2,17
78,1,17
119,2,17
130,2,17
133,2,17
184,1,17
320,2,17
331,1,17
402,2,17
415,1,17
448,2,17
454,2,17
481,2,17
533,1,17
568,2,17
606,2,17
634,2,17
652,1,17
659,2,17
712,2,17
714,2,17
717,2,17
725,2,17
744,2,17
809,1,17
813,2,17
858,2,17
969,2,17
1044,1,17
1075,2,17
1082,2,17
1117,2,17
1217,1,17
1220,1,17
1262,1,17
1277,2,17
1292,1,17
1324,1,17
1392,1,17
1440,2,17
1488,2,17
1570,1,17
1632,2,17
1651,2,17
1670,1,17
1671,1,17
1674,2,17
1740,2,17
1803,2,17
1810,2,17
1831,1,17
0,2,16
4,1,16
21,1,16
59,2,16
134,2,16
156,1,16
222,2,16
231,2,16
406,2,16
426,1,16
484,2,16
501,2,16
503,1,16
510,2,16
572,2,16
577,2,16
590,2,16
615,2,16
660,1,16
684,1,16
710,2,16
742,1,16
762,2,16
771,2,16
789,1,16
855,2,16
912,1,16
914,2,16
915,1,16
941,2,16
995,1,16
999,1,16
1043,2,16
1061,2,16
1159,2,16
1170,2,16
1176,1,16
1194,2,16
1233,1,16
1278,1,16
1284,2,16
1400,1,16
1426,2,16
1504,2,16
1543,2,16
1623,1,16
1643,2,16
1716,1,16
1724,2,16
1825,2,16
1,1,15
16,2,15
64,2,15
85,1,15
116,1,15
170,2,15
206,2,15
288,2,15
337,1,15
356,1,15
393,1,15
396,1,15
508,2,15
641,1,15
654,2,15
657,1,15
735,2,15
755,1,15
760,2,15
769,2,15
773,1,15
843,2,15
889,2,15
935,2,15
1049,1,15
1090,1,15
1097,2,15
1166,2,15
1203,2,15
1273,2,15
1289,1,15
1302,2,15
1407,1,15
1427,1,15
1482,1,15
1485,1,15
1487,2,15
1554,2,15
1563,2,15
1573,1,15
1681,1,15
1705,2,15
1738,1,15
1788,1,15
1811,1,15
1827,2,15
1828,1,15
1830,1,15
37,2,14
55,2,14
88,1,14
176,2,14
216,2,14
256,2,14
293,2,14
329,1,14
358,1,14
377,1,14
381,1,14
390,2,14
398,1,14
400,2,14
437,1,14
438,2,14
450,1,14
489,2,14
528,1,14
540,2,14
608,2,14
626,2,14
632,2,14
673,1,14
692,2,14
720,1,14
764,1,14
774,2,14
778,1,14
902,2,14
